league,team,city,state_province,arena,lat,long,abbreviation,color,alternate_color,logo
NHL,Nashville Predators,Nashville,Tennessee,Bridgestone Arena,36.15917,-86.77861,NSH,FFB81C,041E42,https://a.espncdn.com/i/teamlogos/nhl/500/NSH.png
NHL,Winnipeg Jets,Winnipeg,Manitoba,Canada Life Centre,49.89278,-97.14361,WPG,041E42,AC162C,https://a.espncdn.com/i/teamlogos/nhl/500/WPG.png
NHL,Ottawa Senators,Ottawa,Ontario,Canadian Tire Centre,45.29694,-75.92722,OTT,C52032,C2912C,https://a.espncdn.com/i/teamlogos/nhl/500/OTT.png
NHL,Washington Capitals,Washington,D.C.,Capital One Arena,38.89806,-77.02083,WSH,C8102E,041E42,https://a.espncdn.com/i/teamlogos/nhl/500/WSH.png
NHL,Seattle Kraken,Seattle,Washington,Climate Pledge Arena,47.622,-122.354,SEA,99D9D9,001628,https://a.espncdn.com/i/teamlogos/nhl/500/SEA.png
NHL,Los Angeles Kings,Los Angeles,California,Crypto.com Arena,34.04306,-118.26722,LAK,111111,A2AAAD,https://a.espncdn.com/i/teamlogos/nhl/500/LA.png
NHL,Utah Mammoth,Salt Lake City,Utah,Delta Center,40.76833,-111.90111,UTA,69B3E7,010101,https://a.espncdn.com/i/teamlogos/nhl/500/UTA.png
NHL,St. Louis Blues,St. Louis,Missouri,Enterprise Center,38.62667,-90.2025,STL,002F87,FCB514,https://a.espncdn.com/i/teamlogos/nhl/500/STL.png
NHL,Minnesota Wild,Saint Paul,Minnesota,Grand Casino Arena,44.94472,-93.10111,MIN,154734,A6192E,https://a.espncdn.com/i/teamlogos/nhl/500/MIN.png
NHL,Anaheim Ducks,Anaheim,California,Honda Center,33.80778,-117.87667,ANA,F47A38,B9975B,https://a.espncdn.com/i/teamlogos/nhl/500/ANA.png
NHL,Buffalo Sabres,Buffalo,New York,KeyBank Center,42.875,-78.87639,BUF,002654,FCB514,https://a.espncdn.com/i/teamlogos/nhl/500/BUF.png
NHL,Carolina Hurricanes,Raleigh,North Carolina,Lenovo Center,35.80333,-78.72194,CAR,CC0000,000000,https://a.espncdn.com/i/teamlogos/nhl/500/CAR.png
NHL,Detroit Red Wings,Detroit,Michigan,Little Caesars Arena,42.34111,-83.055,DET,CE1126,FFFFFF,https://a.espncdn.com/i/teamlogos/nhl/500/DET.png
NHL,New York Rangers,New York City,New York,Madison Square Garden,40.75056,-73.99361,NYR,0038A8,CE1126,https://a.espncdn.com/i/teamlogos/nhl/500/NYR.png
NHL,Columbus Blue Jackets,Columbus,Ohio,Nationwide Arena,39.9692833,-83.0061111,CBJ,002654,CE1126,https://a.espncdn.com/i/teamlogos/nhl/500/CBJ.png
NHL,Pittsburgh Penguins,Pittsburgh,Pennsylvania,PPG Paints Arena,40.43944,-79.98917,PIT,FCB514,000000,https://a.espncdn.com/i/teamlogos/nhl/500/PIT.png
NHL,New Jersey Devils,Newark,New Jersey,Prudential Center,40.73361,-74.17111,NJD,CE1126,000000,https://a.espncdn.com/i/teamlogos/nhl/500/NJD.png
NHL,Vancouver Canucks,Vancouver,British Columbia,Rogers Arena,49.27778,-123.10889,VAN,00205B,00843D,https://a.espncdn.com/i/teamlogos/nhl/500/VAN.png
NHL,Edmonton Oilers,Edmonton,Alberta,Rogers Place,53.54694,-113.49778,EDM,FF4C00,041E42,https://a.espncdn.com/i/teamlogos/nhl/500/EDM.png
NHL,San Jose Sharks,San Jose,California,SAP Center,37.33278,-121.90111,SJS,006D75,000000,https://a.espncdn.com/i/teamlogos/nhl/500/SJ.png
NHL,Toronto Maple Leafs,Toronto,Ontario,Scotiabank Arena,43.64333,-79.37917,TOR,00205B,FFFFFF,https://a.espncdn.com/i/teamlogos/nhl/500/TOR.png
NHL,Calgary Flames,Calgary,Alberta,Scotiabank Saddledome,51.0375,-114.05194,CGY,C8102E,F1BE48,https://a.espncdn.com/i/teamlogos/nhl/500/CGY.png
NHL,Boston Bruins,Boston,Massachusetts,TD Garden,42.36639,-71.06222,BOS,FFB81C,000000,https://a.espncdn.com/i/teamlogos/nhl/500/BOS.png
NHL,Vegas Golden Knights,Paradise,Nevada,T-Mobile Arena,36.10278,-115.17833,VGK,B4975A,333F42,https://a.espncdn.com/i/teamlogos/nhl/500/VGK.png
NHL,New York Islanders,Elmont,New York,UBS Arena,40.71179,-73.72604,NYI,00539B,F47D30,https://a.espncdn.com/i/teamlogos/nhl/500/NYI.png
NHL,Chicago Blackhawks,Chicago,Illinois,United Center,41.88056,-87.67417,CHI,CF0A2C,000000,https://a.espncdn.com/i/teamlogos/nhl/500/CHI.png
NHL,Philadelphia Flyers,Philadelphia,Pennsylvania,Xfinity Mobile Arena,39.90111,-75.17194,PHI,F74902,000000,https://a.espncdn.com/i/teamlogos/nhl/500/PHI.png
